,trade_count,total_volume_usd,avg_execution_price,avg_start_position,sum_pnl,mean_pnl,win_rate
trade_count,1.0,0.7392492062419108,-0.04705146408492542,-0.0516206749505711,0.5157807749692458,0.13246268562692465,0.16469369715681695
total_volume_usd,0.7392492062419108,1.0,0.149501087359821,-0.0663239568212072,0.4860567963510761,0.1262652586146659,0.07681921343867337
avg_execution_price,-0.04705146408492542,0.149501087359821,1.0,-0.1281338379569456,-0.029367833214689606,-0.01094056296982869,-0.0977104955562781
avg_start_position,-0.0516206749505711,-0.0663239568212072,-0.1281338379569456,1.0,-0.00429065974738912,0.010550346201535955,0.06647015593646032
sum_pnl,0.5157807749692458,0.4860567963510761,-0.029367833214689606,-0.00429065974738912,1.0,0.5643169306619467,0.22969348939713052
mean_pnl,0.13246268562692465,0.1262652586146659,-0.01094056296982869,0.010550346201535955,0.5643169306619467,1.0,0.3945528777379775
win_rate,0.16469369715681695,0.07681921343867337,-0.0977104955562781,0.06647015593646032,0.22969348939713052,0.3945528777379775,1.0
